productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
630822,Team Rocket's Tyranitar,Tyranitar,https://tcgplayer-cdn.tcgplayer.com/product/630822_200w.jpg,3,24269,https://cpt.tcgcsv.com/sl37,2026-02-13T14:01:06.213,1,"<strong>Ability: Sand Stream</strong> During Pokémon Checkup, if this Pokémon is in the Active Spot, put 2 damage counters on each of your opponent's Basic Pokémon.",0.03,0.39,4321.0,0.38,0.35,Reverse Holofoil,,096/182,Rare,Fighting,180,Stage 2,[FCCC] Demolition Tackle (180)<br> Discard an Energy from your opponent's Active Pokémon.,Gx2,3,,
630822,Team Rocket's Tyranitar,Tyranitar,https://tcgplayer-cdn.tcgplayer.com/product/630822_200w.jpg,3,24269,https://cpt.tcgcsv.com/sl37,2026-02-13T14:01:06.213,1,"<strong>Ability: Sand Stream</strong> During Pokémon Checkup, if this Pokémon is in the Active Spot, put 2 damage counters on each of your opponent's Basic Pokémon.",0.01,0.25,19.98,0.24,0.1,Holofoil,,096/182,Rare,Fighting,180,Stage 2,[FCCC] Demolition Tackle (180)<br> Discard an Energy from your opponent's Active Pokémon.,Gx2,3,,
630823,Marnie's Grimmsnarl ex,Grimmsnarl,https://tcgplayer-cdn.tcgplayer.com/product/630823_200w.jpg,3,24269,https://cpt.tcgcsv.com/tl37,2025-07-14T12:10:01.99,1,"<strong>Ability: Punk Up</strong> When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may search your deck for up to 5 Basic Darkness Energy cards and attach them to your Marnie's Pokémon in any way you like. Then, shuffle your deck.",0.33,0.99,4321.0,0.86,1.71,Holofoil,,136/182,Double Rare,Darkness,320,Stage 2,[DD] Shadow Bullet (180)<br> This attack also does 30 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>,Gx2,2,,
630824,Steven's Metagross ex,Metagross,https://tcgplayer-cdn.tcgplayer.com/product/630824_200w.jpg,3,24269,https://cpt.tcgcsv.com/vl37,2026-02-07T01:17:22.643,1,"<strong>Ability: X-Boot</strong> Once during your turn, you may search your deck for a Basic Psychic Energy card, a Basic Metal Energy card, or 1 of each and attach them to your Psychic Pokémon and Metal Pokémon in any way you like. Then, shuffle your deck.",0.49,1.0,4321.0,0.87,,Holofoil,,145/182,Double Rare,Metal,340,Stage 2,[MCC] Metal Stomp (200),Rx2,3,,G-30
630825,Team Rocket's Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/630825_200w.jpg,3,24269,https://cpt.tcgcsv.com/wl37,2026-02-16T12:56:02.447,1,,0.03,0.22,19.98,0.21,0.08,Reverse Holofoil,,149/182,Common,Colorless,70,Basic,[C] Paw-cket Pilfer<br> Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.,Fx2,1,[CC] Fury Swipes (20x)<br> Flip 3 coins. This attack does 20 damage for each heads.,
630825,Team Rocket's Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/630825_200w.jpg,3,24269,https://cpt.tcgcsv.com/wl37,2026-02-16T12:56:02.447,1,,0.01,0.15,69.5,0.08,0.01,Normal,,149/182,Common,Colorless,70,Basic,[C] Paw-cket Pilfer<br> Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.,Fx2,1,[CC] Fury Swipes (20x)<br> Flip 3 coins. This attack does 20 damage for each heads.,
630826,Team Rocket's Porygon,Porygon,https://tcgplayer-cdn.tcgplayer.com/product/630826_200w.jpg,3,24269,https://cpt.tcgcsv.com/xl37,2026-02-16T12:57:06.34,1,,0.01,0.25,19.98,0.28,0.22,Reverse Holofoil,,153/182,Common,Colorless,60,Basic,"[C] Hacking<br> Discard a card from your hand. If you do, your opponent discards a card from their hand.",Fx2,1,,
630826,Team Rocket's Porygon,Porygon,https://tcgplayer-cdn.tcgplayer.com/product/630826_200w.jpg,3,24269,https://cpt.tcgcsv.com/xl37,2026-02-16T12:57:06.34,1,,0.01,0.21,20.0,0.21,0.1,Normal,,153/182,Common,Colorless,60,Basic,"[C] Hacking<br> Discard a card from your hand. If you do, your opponent discards a card from their hand.",Fx2,1,,
630827,Team Rocket's Porygon2,Porygon2,https://tcgplayer-cdn.tcgplayer.com/product/630827_200w.jpg,3,24269,https://cpt.tcgcsv.com/zl37,2026-02-16T12:57:21.267,1,,0.02,0.25,20.0,0.23,0.1,Normal,,154/182,Common,Colorless,90,Stage 1,"[CCC] R Command (20x)<br> This attack does 20 damage for each Supporter card that has ""Team Rocket"" in its name in your discard pile.",Fx2,1,,
630827,Team Rocket's Porygon2,Porygon2,https://tcgplayer-cdn.tcgplayer.com/product/630827_200w.jpg,3,24269,https://cpt.tcgcsv.com/zl37,2026-02-16T12:57:21.267,1,,0.02,0.28,19.98,0.28,0.29,Reverse Holofoil,,154/182,Common,Colorless,90,Stage 1,"[CCC] R Command (20x)<br> This attack does 20 damage for each Supporter card that has ""Team Rocket"" in its name in your discard pile.",Fx2,1,,
